# This file is generated on 02-Oct-2023 at 12:27:51 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 5.5000e+01, -8.3241e-03
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 7.2000e+01, -3.3352e-02
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 9.0000e+01, -5.4667e-02
1, 6, 1.9700e+01, 3.0000e+01, 1.0000e+00, 9.9000e+01, -6.3940e-02
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 1.0000e-03, 9.2586e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 2.0000e-03, 8.2941e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 5.0000e-03, 7.1574e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 8.0000e-03, 6.6295e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 1.0000e-02, 6.3908e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 1.6000e-02, 5.9117e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 2.7000e-02, 5.4130e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 4.5000e-02, 4.9580e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 7.7000e-02, 4.5095e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 1.3000e-01, 4.0979e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 2.1000e-01, 3.7399e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 3.5000e-01, 3.3752e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 6.0000e-01, 3.0050e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 9.5000e-01, 2.6982e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 1.7000e+00, 2.3171e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 3.0000e+00, 1.9484e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 5.1000e+00, 1.6026e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 8.3000e+00, 1.2805e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 1.2000e+01, 1.0318e-01
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 1.9000e+01, 7.1361e-02
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 3.0000e+01, 3.8599e-02
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 4.0000e+01, 1.7269e-02
